Date,constant,Close,name
09/07/2013, 16:00:00,15.08,vijay
10/07/2013, 16:00:00,15.03,vijay
11/07/2013, 16:00:00,15.26,vijay
12/07/2013, 16:00:00,15.23,vijay
15/07/2013, 16:00:00,15.27,vijay
16/07/2013, 16:00:00,15.36,vijay
17/07/2013, 16:00:00,15.37,vijay
18/07/2013, 16:00:00,15.42,vijay
19/07/2013, 16:00:00,15.18,vijay
22/07/2013, 16:00:00,15.23,vijay
23/07/2013, 16:00:00,14.96,vijay
24/07/2013, 16:00:00,15.73,vijay
25/07/2013, 16:00:00,15.66,vijay
26/07/2013, 16:00:00,15.75,vijay
29/07/2013, 16:00:00,15.99,vijay
30/07/2013, 16:00:00,16.19,vijay
31/07/2013, 16:00:00,16.16,vijay
01/08/2013, 16:00:00,16.31,vijay
02/08/2013, 16:00:00,16.52,vijay
05/08/2013, 16:00:00,16.77,vijay
06/08/2013, 16:00:00,16.62,vijay
07/08/2013, 16:00:00,16.61,vijay
08/08/2013, 16:00:00,16.46,vijay
09/08/2013, 16:00:00,16.23,vijay
12/08/2013, 16:00:00,16.69,vijay
13/08/2013, 16:00:00,17.48,vijay
14/08/2013, 16:00:00,17.8,vijay
15/08/2013, 16:00:00,17.78,vijay
16/08/2013, 16:00:00,17.94,vijay
19/08/2013, 16:00:00,18.13,vijay
20/08/2013, 16:00:00,17.9,vijay
21/08/2013, 16:00:00,17.94,vijay
22/08/2013, 16:00:00,17.96,vijay
23/08/2013, 16:00:00,17.89,vijay
26/08/2013, 16:00:00,17.96,vijay
27/08/2013, 16:00:00,17.45,vijay
28/08/2013, 16:00:00,17.53,vijay
29/08/2013, 16:00:00,17.56,vijay
30/08/2013, 16:00:00,17.4,vijay
03/09/2013, 16:00:00,17.45,vijay
04/09/2013, 16:00:00,17.81,vijay
05/09/2013, 16:00:00,17.69,vijay
06/09/2013, 16:00:00,17.79,vijay
09/09/2013, 16:00:00,18.08,vijay
10/09/2013, 16:00:00,17.67,vijay
11/09/2013, 16:00:00,16.7,vijay
12/09/2013, 16:00:00,16.88,vijay
13/09/2013, 16:00:00,16.6,vijay
16/09/2013, 16:00:00,16.08,vijay
17/09/2013, 16:00:00,16.26,vijay
18/09/2013, 16:00:00,16.6,vijay
19/09/2013, 16:00:00,16.87,vijay
20/09/2013, 16:00:00,16.69,vijay
23/09/2013, 16:00:00,17.52,vijay
24/09/2013, 16:00:00,17.47,vijay
25/09/2013, 16:00:00,17.2,vijay
26/09/2013, 16:00:00,17.36,vijay
27/09/2013, 16:00:00,17.24,vijay
30/09/2013, 16:00:00,17.03,vijay
01/10/2013, 16:00:00,17.43,vijay
